State,Abbr,Ground Truth,TIR (4 weeks),TIR (8 weeks),SIS,TIS
alabama,AL,1168.97 ,465.60 ,417.67 ,462.87 ,440.20 
arizona,AZ,1921.34 ,1175.83 ,1086.54 ,1151.39 ,1124.82 
arkansas,AR,249.62 ,211.84 ,191.04 ,239.06 ,206.26 
idaho,ID,1075.97 ,881.32 ,828.62 ,580.73 ,935.57 
indiana,IN,567.16 ,341.89 ,328.89 ,374.83 ,333.34 
iowa,IA,781.93 ,638.71 ,592.14 ,556.45 ,597.04 
kentucky,KY,1128.43 ,496.19 ,467.71 ,528.41 ,481.38 
michigan,MI,525.47 ,380.43 ,350.00 ,389.28 ,369.50 
minnesota,MN,168.76 ,128.12 ,121.87 ,117.17 ,127.86 
mississippi,MS,340.12 ,376.24 ,327.41 ,340.40 ,368.36 
nebraska,NE,855.34 ,541.49 ,518.16 ,394.56 ,523.29 
new mexico,NM,867.87 ,654.60 ,608.61 ,522.31 ,638.13 
ohio,OH,323.92 ,287.66 ,264.71 ,294.08 ,278.09 
oklahoma,OK,270.76 ,219.69 ,199.11 ,207.97 ,214.57 
south carolina,SC,849.69 ,333.66 ,308.43 ,354.99 ,324.97 
tennessee,TN,329.84 ,242.27 ,224.05 ,256.43 ,234.54 
texas,TX,382.89 ,393.16 ,360.62 ,395.76 ,370.84 
utah,UT,592.62 ,594.54 ,552.31 ,454.72 ,571.03 
virginia,VA,1203.81 ,1041.74 ,971.98 ,1120.75 ,996.92 
wisconsin,WI,461.38 ,245.57 ,225.14 ,253.14 ,229.77 
