State,Abbr,Ground Truth,TIR (4 weeks),TIR (8 weeks),SIS,TIS
alabama,AL,0.3429 ,0.1321 ,0.1200 ,0.1317 ,0.1278 
arizona,AZ,0.4221 ,0.4026 ,0.3772 ,0.4034 ,0.3928 
arkansas,AR,0.4163 ,0.3586 ,0.3250 ,0.4047 ,0.3500 
idaho,ID,0.2761 ,0.1661 ,0.1569 ,0.1137 ,0.1736 
indiana,IN,0.4485 ,0.2728 ,0.2538 ,0.2923 ,0.2671 
iowa,IA,0.4375 ,0.3581 ,0.3306 ,0.3138 ,0.3348 
kentucky,KY,0.1971 ,0.0924 ,0.0855 ,0.0945 ,0.0893 
michigan,MI,0.3855 ,0.2297 ,0.2166 ,0.2244 ,0.2259 
minnesota,MN,0.3339 ,0.2788 ,0.2597 ,0.2559 ,0.2796 
mississippi,MS,0.5746 ,0.5856 ,0.5265 ,0.5331 ,0.5825 
nebraska,NE,0.3040 ,0.1761 ,0.1679 ,0.1303 ,0.1672 
new mexico,NM,0.3950 ,0.2647 ,0.2466 ,0.2107 ,0.2602 
ohio,OH,0.3682 ,0.3568 ,0.3285 ,0.3586 ,0.3472 
oklahoma,OK,0.2067 ,0.1815 ,0.1658 ,0.1714 ,0.1789 
south carolina,SC,0.3786 ,0.1306 ,0.1206 ,0.1393 ,0.1290 
tennessee,TN,0.3389 ,0.2379 ,0.2195 ,0.2526 ,0.2300 
texas,TX,0.3542 ,0.3559 ,0.3277 ,0.3584 ,0.3385 
utah,UT,0.1387 ,0.1487 ,0.1391 ,0.1135 ,0.1435 
virginia,VA,0.2065 ,0.2190 ,0.2060 ,0.2313 ,0.2121 
wisconsin,WI,0.3042 ,0.1663 ,0.1523 ,0.1713 ,0.1554 
