State,Abbr,Ground Truth,TIR (4 weeks),TIR (8 weeks),SIS,TIS
alabama,AL,25.39 ,9.55 ,8.73 ,8.93 ,8.21 
arizona,AZ,24.10 ,9.09 ,8.23 ,8.17 ,7.96 
arkansas,AR,26.05 ,21.74 ,19.46 ,24.44 ,21.04 
idaho,ID,28.59 ,18.45 ,17.04 ,10.83 ,18.66 
indiana,IN,26.38 ,11.22 ,10.87 ,12.14 ,10.64 
iowa,IA,33.74 ,26.96 ,25.10 ,23.30 ,25.14 
kentucky,KY,21.09 ,7.70 ,6.82 ,5.83 ,4.86 
michigan,MI,18.60 ,8.93 ,7.92 ,9.10 ,8.38 
minnesota,MN,28.15 ,19.90 ,18.90 ,18.12 ,19.80 
mississippi,MS,25.15 ,24.85 ,21.83 ,22.64 ,24.43 
nebraska,NE,32.16 ,17.32 ,16.93 ,12.31 ,16.70 
new mexico,NM,24.12 ,13.54 ,11.80 ,9.12 ,11.10 
ohio,OH,20.30 ,14.54 ,13.29 ,14.90 ,13.92 
oklahoma,OK,25.39 ,19.04 ,17.10 ,17.88 ,18.38 
south carolina,SC,20.56 ,7.68 ,6.96 ,8.04 ,7.26 
tennessee,TN,28.68 ,18.52 ,17.08 ,19.60 ,17.83 
texas,TX,20.94 ,19.70 ,17.87 ,19.72 ,18.40 
utah,UT,30.66 ,29.85 ,27.25 ,22.35 ,28.38 
virginia,VA,13.70 ,9.81 ,8.91 ,10.14 ,8.94 
wisconsin,WI,33.68 ,17.11 ,15.56 ,17.57 ,15.87 
